Date,Hour,Time_x,Purchase Bid (MW),Total Sell Bid (MW),Sell bid Solar (MW),Sell bid Non-Solar (MW),Sell bid Hydro (MW),MCV Total (MW),MCV Solar (MW),MCV Non-Solar (MW),MCV Hydro (MW),MCP (Rs/MWh)
2025-03-23,11,10:00 - 10:15,3023.7,1930.4,1663.0,257.4,10.0,1387.8,1161.33,216.47,10.0,2359.91
2025-03-23,11,10:15 - 10:30,2920.9,1977.2,1710.7,256.5,10.0,1420.0,1194.1,215.9,10.0,2247.79
2025-03-23,11,10:30 - 10:45,2911.3,1938.8,1677.1,251.7,10.0,1418.3,1197.3,211.0,10.0,2198.98
2025-03-23,11,10:45 - 11:00,2768.5,1943.5,1684.8,248.7,10.0,1422.8,1205.0,207.8,10.0,2200.2
2025-03-23,12,11:00 - 11:15,2612.8,1944.7,1689.3,245.4,10.0,1404.0,1188.0,206.0,10.0,1999.92
2025-03-23,12,11:15 - 11:30,2562.4,1743.8,1508.8,225.0,10.0,1239.3,1041.4,187.9,10.0,2699.42
2025-03-23,12,11:30 - 11:45,2465.1,1752.5,1517.5,225.0,10.0,1243.0,1045.1,187.9,10.0,2699.37
2025-03-23,12,11:45 - 12:00,2422.9,1756.6,1521.7,224.9,10.0,1250.8,1053.0,187.8,10.0,2699.41
2025-03-23,13,12:00 - 12:15,2385.5,1738.0,1488.3,223.7,26.0,1249.1,1036.5,186.6,26.0,2399.38
2025-03-23,13,12:15 - 12:30,2375.1,1744.9,1493.7,225.2,26.0,1240.7,1026.6,188.1,26.0,2399.26
2025-03-23,13,12:30 - 12:45,2282.4,1748.6,1497.6,225.0,26.0,1244.0,1030.1,187.9,26.0,2340.61
2025-03-23,13,12:45 - 13:00,2321.0,1782.8,1531.8,225.0,26.0,1244.2,1030.3,187.9,26.0,2340.38
2025-03-23,14,13:00 - 13:15,2151.1,1771.2,1517.3,227.9,26.0,1228.8,1012.0,190.8,26.0,2340.22
2025-03-23,14,13:15 - 13:30,2147.0,1773.4,1519.7,227.7,26.0,1228.0,1011.4,190.6,26.0,2340.1
2025-03-23,14,13:30 - 13:45,2293.6,1771.5,1517.8,227.7,26.0,1231.2,1016.39,188.81,26.0,2299.06
2025-03-23,14,13:45 - 14:00,2455.2,1715.9,1461.7,228.2,26.0,1242.79,1026.82,189.97,26.0,2299.19
2025-03-23,15,14:00 - 14:15,2886.2,1691.9,1438.1,227.8,26.0,1337.1,1119.9,191.2,26.0,2599.05
2025-03-23,15,14:15 - 14:30,2984.8,1678.8,1424.9,227.9,26.0,1318.7,1101.4,191.3,26.0,2599.08
2025-03-23,15,14:30 - 14:45,3091.2,1976.5,1717.0,249.0,10.5,1451.3,1228.9,211.9,10.5,2340.93
2025-03-23,15,14:45 - 15:00,3144.6,1969.1,1709.3,249.3,10.5,1444.2,1221.5,212.2,10.5,2500.05
2025-03-23,16,15:00 - 15:15,3501.9,2032.9,1773.1,249.3,10.5,1407.29,1184.59,212.2,10.5,2700.55
2025-03-23,16,15:15 - 15:30,3785.9,2008.2,1748.2,249.5,10.5,1409.1,1186.2,212.4,10.5,2799.35
2025-03-23,16,15:30 - 15:45,4309.8,1985.5,1726.2,248.8,10.5,1383.4,1160.2,212.7,10.5,2899.54
2025-03-23,16,15:45 - 16:00,4671.1,1950.9,1691.3,249.1,10.5,1363.6,1138.48,214.62,10.5,2999.41
2025-03-23,17,16:00 - 16:15,5535.9,1901.2,1640.7,250.0,10.5,1395.19,1166.79,217.9,10.5,3500.61
2025-03-23,17,16:15 - 16:30,6127.3,1774.4,1513.5,250.4,10.5,1275.2,1046.4,218.3,10.5,3900.11
2025-03-23,17,16:30 - 16:45,5103.0,1680.3,1411.4,258.4,10.5,1262.16,997.16,254.5,10.5,4000.04
2025-03-23,17,16:45 - 17:00,5282.0,1542.3,1269.5,262.3,10.5,1195.39,926.49,258.4,10.5,4001.0
2025-03-23,18,17:00 - 17:15,4905.8,1492.0,1182.1,283.9,26.0,1267.86,976.3,265.56,26.0,3999.49
2025-03-23,18,17:15 - 17:30,4013.5,1232.3,907.2,299.1,26.0,1139.5,818.3,295.2,26.0,4200.43
2025-03-23,18,17:30 - 17:45,5585.1,967.6,629.6,310.3,27.7,951.87,613.87,310.3,27.7,5000.27
2025-03-23,18,17:45 - 18:00,4378.7,787.8,434.5,325.6,27.7,787.8,434.5,325.6,27.7,6500.37
2025-03-23,19,18:00 - 18:15,3226.8,1315.7,258.9,1029.1,27.7,1010.72,249.8,733.22,27.7,5031.83
2025-03-23,19,18:15 - 18:30,3116.9,1184.5,117.1,1039.7,27.7,932.5,117.1,787.7,27.7,6001.03
2025-03-23,19,18:30 - 18:45,3846.3,907.7,38.6,809.4,59.7,907.7,38.6,809.4,59.7,10000.0
2025-03-23,19,18:45 - 19:00,4241.2,502.4,7.4,416.3,78.7,502.4,7.4,416.3,78.7,10000.0
2025-03-23,20,19:00 - 19:15,4351.8,469.8,2.0,440.1,27.7,469.8,2.0,440.1,27.7,10000.0
2025-03-23,20,19:15 - 19:30,4502.1,464.8,0.0,437.1,27.7,464.8,0.0,437.1,27.7,10000.0
2025-03-23,20,19:30 - 19:45,4300.8,507.9,0.0,480.2,27.7,507.9,0.0,480.2,27.7,10000.0
2025-03-23,20,19:45 - 20:00,3767.3,502.7,0.0,475.0,27.7,502.7,0.0,475.0,27.7,10000.0
2025-03-23,21,20:00 - 20:15,3024.4,526.4,0.0,500.4,26.0,526.4,0.0,500.4,26.0,10000.0
2025-03-23,21,20:15 - 20:30,2637.9,596.0,0.0,522.5,73.5,596.0,0.0,522.5,73.5,10000.0
2025-03-23,21,20:30 - 20:45,2771.3,901.4,0.0,827.9,73.5,821.4,0.0,810.9,10.5,7500.14
2025-03-23,21,20:45 - 21:00,2974.8,1271.3,0.0,1228.8,42.5,1124.3,0.0,1113.8,10.5,6500.54
2025-03-23,22,21:00 - 21:15,2421.9,842.8,0.0,814.1,28.7,663.16,0.0,641.95,21.21,5999.59
2025-03-23,22,21:15 - 21:30,2611.8,851.0,0.0,822.3,28.7,761.0,0.0,732.3,28.7,6500.37
2025-03-23,22,21:30 - 21:45,2405.8,848.0,0.0,819.3,28.7,768.0,0.0,739.3,28.7,6500.25
2025-03-23,22,21:45 - 22:00,2292.8,869.2,0.0,844.0,25.2,779.19,0.0,753.99,25.2,6500.08
2025-03-23,23,22:00 - 22:15,3056.0,745.6,0.0,719.6,26.0,688.5,0.0,662.5,26.0,6800.45
2025-03-23,23,22:15 - 22:30,3112.3,759.1,0.0,733.1,26.0,692.0,0.0,666.0,26.0,6800.32
2025-03-23,23,22:30 - 22:45,3084.2,758.0,0.0,732.0,26.0,693.9,0.0,667.9,26.0,6800.32
2025-03-23,23,22:45 - 23:00,3207.7,755.8,0.0,729.8,26.0,695.7,0.0,669.7,26.0,6800.14
2025-03-23,24,23:00 - 23:15,2413.1,759.1,0.0,733.1,26.0,707.3,0.0,681.3,26.0,5999.99
2025-03-23,24,23:15 - 23:30,2388.5,767.0,0.0,741.0,26.0,710.0,0.0,684.0,26.0,6500.03
2025-03-23,24,23:30 - 23:45,2329.8,763.1,0.0,737.1,26.0,700.5,0.0,674.5,26.0,5999.9
2025-03-23,24,23:45 - 24:00,2303.2,764.4,0.0,738.4,26.0,682.0,0.0,656.0,26.0,5999.72
2025-03-24,1,00:00 - 00:15,2031.9,619.6,0.0,593.6,26.0,608.5,0.0,582.5,26.0,4200.96
2025-03-24,1,00:15 - 00:30,2222.3,618.1,0.0,592.1,26.0,607.0,0.0,581.0,26.0,4200.81
2025-03-24,1,00:30 - 00:45,2754.8,619.7,0.0,593.7,26.0,608.6,0.0,582.6,26.0,4200.66
2025-03-24,1,00:45 - 01:00,2689.1,625.1,0.0,599.1,26.0,614.0,0.0,588.0,26.0,4200.44
2025-03-24,2,01:00 - 01:15,2528.6,623.8,0.0,597.8,26.0,612.69,0.0,586.69,26.0,4200.48
2025-03-24,2,01:15 - 01:30,2654.6,621.0,0.0,595.0,26.0,609.9,0.0,583.9,26.0,4200.57
2025-03-24,2,01:30 - 01:45,2615.9,618.3,0.0,592.3,26.0,607.2,0.0,581.2,26.0,4200.53
2025-03-24,2,01:45 - 02:00,2639.9,601.6,0.0,591.1,10.5,590.5,0.0,580.0,10.5,4200.77
2025-03-24,3,02:00 - 02:15,2072.7,599.5,0.0,589.0,10.5,588.4,0.0,577.9,10.5,4200.91
2025-03-24,3,02:15 - 02:30,2065.8,595.7,0.0,585.2,10.5,584.6,0.0,574.1,10.5,4200.97
2025-03-24,3,02:30 - 02:45,2065.3,595.9,0.0,585.4,10.5,584.8,0.0,574.3,10.5,4200.93
2025-03-24,3,02:45 - 03:00,2015.0,595.7,0.0,585.2,10.5,584.6,0.0,574.1,10.5,4350.55
2025-03-24,4,03:00 - 03:15,1947.1,596.3,0.0,585.8,10.5,585.2,0.0,574.7,10.5,4200.82
2025-03-24,4,03:15 - 03:30,1946.9,596.3,0.0,585.8,10.5,585.2,0.0,574.7,10.5,4200.81
2025-03-24,4,03:30 - 03:45,1930.1,593.2,0.0,582.7,10.5,582.1,0.0,571.6,10.5,4200.85
2025-03-24,4,03:45 - 04:00,1940.0,590.4,0.0,579.9,10.5,579.3,0.0,568.8,10.5,4350.8
2025-03-24,5,04:00 - 04:15,2449.0,609.6,0.0,578.1,31.5,598.5,0.0,567.0,31.5,4200.9
2025-03-24,5,04:15 - 04:30,2508.0,607.4,0.0,575.9,31.5,596.3,0.0,564.8,31.5,4200.48
2025-03-24,5,04:30 - 04:45,2522.4,604.9,0.0,573.4,31.5,593.8,0.0,562.3,31.5,4200.79
2025-03-24,5,04:45 - 05:00,2623.5,604.2,0.0,572.7,31.5,593.1,0.0,561.6,31.5,4200.78
2025-03-24,6,05:00 - 05:15,2506.1,627.6,0.0,585.1,42.5,616.5,0.0,574.0,42.5,4250.58
2025-03-24,6,05:15 - 05:30,2605.1,624.8,0.0,582.3,42.5,613.7,0.0,571.2,42.5,4250.92
2025-03-24,6,05:30 - 05:45,2788.3,638.3,0.0,580.3,58.0,631.1,0.0,573.1,58.0,5000.25
2025-03-24,6,05:45 - 06:00,3171.6,633.8,0.0,575.8,58.0,626.6,0.0,568.6,58.0,5087.31
2025-03-24,7,06:00 - 06:15,2802.3,670.0,0.1,575.9,94.0,666.75,0.1,572.65,94.0,5999.55
2025-03-24,7,06:15 - 06:30,3218.5,668.6,0.2,572.7,95.7,668.6,0.2,572.7,95.7,6000.83
2025-03-24,7,06:30 - 06:45,3095.3,545.3,1.5,448.1,95.7,538.1,1.5,440.9,95.7,5000.87
2025-03-24,7,06:45 - 07:00,3227.2,556.1,10.6,449.8,95.7,548.9,10.6,442.6,95.7,5000.68
2025-03-24,8,07:00 - 07:15,3203.4,555.8,49.2,410.9,95.7,544.2,46.2,402.3,95.7,4660.96
2025-03-24,8,07:15 - 07:30,2713.2,636.8,137.7,403.4,95.7,614.3,126.3,392.3,95.7,4200.81
2025-03-24,8,07:30 - 07:45,2360.7,744.1,290.7,393.7,59.7,704.99,262.7,382.59,59.7,4200.17
2025-03-24,8,07:45 - 08:00,1957.4,969.2,523.7,385.8,59.7,906.6,500.4,346.5,59.7,3870.18
2025-03-24,9,08:00 - 08:15,2061.8,1159.8,738.8,372.3,48.7,1012.4,632.7,331.0,48.7,3460.59
2025-03-24,9,08:15 - 08:30,1706.0,1351.9,960.3,342.9,48.7,1049.1,719.8,301.6,27.7,3050.82
2025-03-24,9,08:30 - 08:45,2504.6,1303.4,1013.0,241.7,48.7,1106.2,879.82,198.68,27.7,3048.86
2025-03-24,9,08:45 - 09:00,2216.6,1467.3,1180.2,238.4,48.7,1170.7,945.9,197.1,27.7,2904.44
2025-03-24,10,09:00 - 09:15,3381.1,1433.6,1185.4,233.5,14.7,1083.48,884.53,188.45,10.5,3205.61
2025-03-24,10,09:15 - 09:30,3038.4,1575.5,1327.3,233.5,14.7,1103.78,905.63,187.65,10.5,3205.53
2025-03-24,10,09:30 - 09:45,2877.7,1680.1,1436.1,233.5,10.5,1313.0,1110.3,192.2,10.5,3199.68
2025-03-24,10,09:45 - 10:00,2561.6,1744.5,1500.4,233.6,10.5,1307.39,1105.49,191.4,10.5,3024.91
2025-03-24,11,10:00 - 10:15,2411.8,1786.0,1541.8,233.7,10.5,1130.79,931.41,188.88,10.5,2914.63
2025-03-24,11,10:15 - 10:30,2313.8,1833.1,1588.3,234.3,10.5,1132.79,935.18,187.11,10.5,2918.39
2025-03-24,11,10:30 - 10:45,2166.1,1792.4,1547.1,234.8,10.5,1134.7,936.42,187.78,10.5,2929.4
2025-03-24,11,10:45 - 11:00,2038.7,1800.7,1554.7,235.5,10.5,1152.3,953.02,188.78,10.5,2917.44
2025-03-24,12,11:00 - 11:15,1974.0,1800.6,1556.6,233.5,10.5,1133.9,933.52,189.88,10.5,2770.55
2025-03-24,12,11:15 - 11:30,2014.8,1831.9,1586.5,234.9,10.5,1134.7,934.72,189.48,10.5,2760.4
2025-03-24,12,11:30 - 11:45,2017.5,1833.3,1586.1,236.7,10.5,1137.4,936.07,190.83,10.5,2759.4
2025-03-24,12,11:45 - 12:00,1967.9,1835.9,1586.0,239.4,10.5,1137.8,932.69,194.61,10.5,2738.53
2025-03-24,13,12:00 - 12:15,2538.3,1818.8,1551.3,239.8,27.7,1238.9,1013.02,198.18,27.7,2398.82
2025-03-24,13,12:15 - 12:30,2382.0,1824.7,1556.2,240.8,27.7,1182.6,956.94,197.96,27.7,2398.72
2025-03-24,13,12:30 - 12:45,2377.1,1827.5,1558.2,241.6,27.7,1193.05,966.43,198.92,27.7,2340.74
2025-03-24,13,12:45 - 13:00,2415.3,1837.6,1567.1,242.8,27.7,1202.09,976.01,198.38,27.7,2339.61
2025-03-24,14,13:00 - 13:15,2405.1,1870.5,1598.7,244.1,27.7,1207.6,986.5,193.4,27.7,2198.46
2025-03-24,14,13:15 - 13:30,2402.3,1875.4,1601.6,246.1,27.7,1235.2,1009.47,198.03,27.7,2027.67
2025-03-24,14,13:30 - 13:45,2467.9,1849.9,1574.9,247.3,27.7,1205.8,979.62,198.48,27.7,2037.62
2025-03-24,14,13:45 - 14:00,2559.9,1823.7,1545.7,250.3,27.7,1234.5,1006.55,200.25,27.7,2114.54
2025-03-24,15,14:00 - 14:15,2743.2,1815.9,1529.8,257.9,28.2,1204.8,964.85,211.75,28.2,2396.48
2025-03-24,15,14:15 - 14:30,2826.7,1800.1,1513.4,258.5,28.2,1184.8,944.58,212.02,28.2,2404.46
2025-03-24,15,14:30 - 14:45,3008.9,1849.6,1579.5,259.1,11.0,1323.92,1094.49,218.43,11.0,2340.9
2025-03-24,15,14:45 - 15:00,3162.2,1840.1,1569.7,259.4,11.0,1320.79,1093.25,216.54,11.0,2499.73
2025-03-24,16,15:00 - 15:15,3574.9,1930.0,1657.8,261.2,11.0,1210.6,982.35,217.25,11.0,2700.65
2025-03-24,16,15:15 - 15:30,3998.3,1945.8,1672.9,261.9,11.0,1258.7,1026.63,221.07,11.0,2798.88
2025-03-24,16,15:30 - 15:45,4421.5,1949.5,1673.9,264.6,11.0,1257.7,1022.47,224.23,11.0,2899.93
2025-03-24,16,15:45 - 16:00,4825.3,1904.2,1627.3,265.9,11.0,1248.76,1012.91,224.85,11.0,2940.89
2025-03-24,17,16:00 - 16:15,5420.0,1852.5,1573.8,267.7,11.0,1316.0,1076.6,228.4,11.0,3199.61
2025-03-24,17,16:15 - 16:30,5914.4,1991.9,1606.2,374.7,11.0,1255.69,909.29,335.4,11.0,3300.07
2025-03-24,17,16:30 - 16:45,4756.8,1871.3,1473.8,386.5,11.0,1104.4,750.74,342.66,11.0,3382.98
2025-03-24,17,16:45 - 17:00,4667.1,1737.5,1339.6,386.9,11.0,1089.3,732.7,345.6,11.0,3499.62
2025-03-24,18,17:00 - 17:15,4354.2,1691.4,1264.8,400.1,26.5,1224.4,839.1,358.8,26.5,3498.52
2025-03-24,18,17:15 - 17:30,3287.5,1411.4,987.6,397.3,26.5,1150.0,767.5,356.0,26.5,3699.55
2025-03-24,18,17:30 - 17:45,4870.1,1215.1,688.2,498.7,28.2,922.1,534.5,359.4,28.2,3790.05
2025-03-24,18,17:45 - 18:00,4255.0,1040.1,518.6,493.3,28.2,1040.1,518.6,493.3,28.2,6500.48
2025-03-24,19,18:00 - 18:15,2964.9,1435.7,257.3,1150.2,28.2,1072.5,247.5,796.8,28.2,5364.21
2025-03-24,19,18:15 - 18:30,2692.1,1446.0,123.1,1243.7,79.2,1173.2,88.8,1005.2,79.2,5499.05
2025-03-24,19,18:30 - 18:45,2924.6,1242.0,51.8,1111.0,79.2,1216.0,25.8,1111.0,79.2,8200.02
2025-03-24,19,18:45 - 19:00,3642.7,366.4,10.0,328.2,28.2,366.4,10.0,328.2,28.2,10000.0
2025-03-24,20,19:00 - 19:15,4160.0,466.9,2.0,436.7,28.2,466.89,2.0,436.69,28.2,10000.0
2025-03-24,20,19:15 - 19:30,4263.3,464.5,0.0,436.3,28.2,464.5,0.0,436.3,28.2,10000.0
2025-03-24,20,19:30 - 19:45,3908.7,464.9,0.0,436.7,28.2,464.9,0.0,436.7,28.2,10000.0
2025-03-24,20,19:45 - 20:00,3289.6,466.9,0.0,438.7,28.2,466.89,0.0,438.69,28.2,10000.0
2025-03-24,21,20:00 - 20:15,2640.8,515.4,0.0,454.9,60.5,515.38,0.0,454.88,60.5,10000.0
2025-03-24,21,20:15 - 20:30,2281.0,1449.7,0.0,1387.7,62.0,1018.7,0.0,1007.7,11.0,6000.64
2025-03-24,21,20:30 - 20:45,1882.4,1501.5,0.0,1458.5,43.0,692.8,0.0,681.8,11.0,5364.71
2025-03-24,21,20:45 - 21:00,1939.1,1566.3,0.0,1523.3,43.0,694.4,0.0,683.4,11.0,5364.75
2025-03-24,22,21:00 - 21:15,2280.7,761.4,0.0,729.4,32.0,755.4,0.0,723.4,32.0,7500.04
2025-03-24,22,21:15 - 21:30,2348.4,772.6,0.0,740.6,32.0,736.8,0.0,704.8,32.0,7149.5
2025-03-24,22,21:30 - 21:45,2450.7,772.5,0.0,740.5,32.0,704.5,0.0,672.5,32.0,6420.82
2025-03-24,22,21:45 - 22:00,2548.9,778.0,0.0,747.0,31.0,702.0,0.0,671.0,31.0,6001.06
2025-03-24,23,22:00 - 22:15,2988.2,744.1,0.0,717.6,26.5,637.6,0.0,611.1,26.5,5899.77
2025-03-24,23,22:15 - 22:30,3008.0,755.6,0.0,729.1,26.5,630.0,0.0,603.5,26.5,5899.74
2025-03-24,23,22:30 - 22:45,3013.9,758.2,0.0,731.7,26.5,616.7,0.0,590.2,26.5,5899.69
2025-03-24,23,22:45 - 23:00,3252.1,764.7,0.0,738.2,26.5,599.7,0.0,573.2,26.5,5899.62
2025-03-24,24,23:00 - 23:15,2278.2,720.9,0.0,694.4,26.5,594.7,0.0,568.2,26.5,5899.61
2025-03-24,24,23:15 - 23:30,2239.4,715.6,0.0,689.1,26.5,586.7,0.0,560.2,26.5,5899.62
2025-03-24,24,23:30 - 23:45,2189.9,713.4,0.0,686.9,26.5,578.7,0.0,552.2,26.5,5899.59
2025-03-24,24,23:45 - 24:00,2327.9,724.9,0.0,698.4,26.5,565.7,0.0,539.2,26.5,5899.54
2025-03-25,1,00:00 - 00:15,2173.5,476.9,0.0,438.7,38.2,476.9,0.0,438.7,38.2,5600.12
2025-03-25,1,00:15 - 00:30,2192.8,474.7,0.0,436.5,38.2,474.7,0.0,436.5,38.2,5600.09
2025-03-25,1,00:30 - 00:45,2638.4,472.7,0.0,434.5,38.2,472.7,0.0,434.5,38.2,5600.08
2025-03-25,1,00:45 - 01:00,2532.1,471.2,0.0,433.0,38.2,471.2,0.0,433.0,38.2,5600.05
2025-03-25,2,01:00 - 01:15,2232.9,475.1,0.0,434.7,40.4,475.1,0.0,434.7,40.4,5000.71
2025-03-25,2,01:15 - 01:30,2347.7,472.7,0.0,432.3,40.4,472.7,0.0,432.3,40.4,5010.0
2025-03-25,2,01:30 - 01:45,2365.3,580.9,0.0,540.5,40.4,569.8,0.0,529.4,40.4,4200.55
2025-03-25,2,01:45 - 02:00,2319.6,580.8,0.0,540.4,40.4,569.7,0.0,529.3,40.4,4200.53
2025-03-25,3,02:00 - 02:15,2308.0,580.7,0.0,540.3,40.4,569.6,0.0,529.2,40.4,4200.54
2025-03-25,3,02:15 - 02:30,2532.0,580.8,0.0,540.4,40.4,569.7,0.0,529.3,40.4,4200.57
2025-03-25,3,02:30 - 02:45,2707.2,561.2,0.0,539.7,21.5,550.1,0.0,528.6,21.5,4200.77
2025-03-25,3,02:45 - 03:00,2690.4,551.6,0.0,530.1,21.5,540.5,0.0,519.0,21.5,4200.92
2025-03-25,4,03:00 - 03:15,2666.5,547.8,0.0,526.3,21.5,536.69,0.0,515.19,21.5,4201.0
2025-03-25,4,03:15 - 03:30,2671.8,541.4,0.0,519.9,21.5,530.3,0.0,508.8,21.5,4250.36
